journal,indexation,publication,doi,titre,chercheurs,laboratoires,abstract,keywords,pays,quartile
,IEEE,Publisher: IEEE,DOI: 10.1109/ICTC49870.2020.9289297,Blockchain-based Farming Activities Tracker for Enhancing Trust in the Community Supported Agriculture Model,Duc-Hiep Nguyen; Nguyen Huynh Tuong; Hoang-Anh Pham,,"Community Supported Agriculture (CSA) model is an efficient solution that not only solves the problem of the agricultural product’s origin but also provides a method to share the market risk between consumers and producers. In the CSA model, consumers order and pay for products in advance. Then, the producers will send packages of fresh products to consumers after a fixed period corresponding to the paid amount. However, the critical weakness of the CSA model is the lack of solutions for both sides to demonstrate the product’s quality, which makes consumers unsure about the condition of receiving products. In consequence, consumers become hesitant to order and pay money in advance. In this paper, we will propose a novel solution that allows consumers to track their products through agricultural diaries recorded by farmers every day. The key difference of the proposed solution is to leverage Blockchain technology advantages in authenticating and protecting the integrity of information. Such that, consumers could track all steps in the production process quickly and reliably. Meanwhile, producers can build and increase their enterprise branding by transferring product information transparently and responsibly.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/ICCCIS56430.2022.10037587,Understanding Fusion of Internet of Vehicles with Blockchain : IoV and Blockchain,Arman Rasool Faridi; Rahul Singh; Faraz Masood,,"Smart, autonomous, and roadside units that can communicate wirelessly make up the Internet of Vehicles, aiming to improve transportation services, reduce accidents and improve traffic efficiency. However, the security, privacy, and trust problems with the Internet of Vehicles are significant. With the advent of blockchain technology, services can now be decentralised for increased security without needing responsible third parties. With blockchain, the risks of single points of failure and other attacks are reduced, as well as the advantages of immutability and trustworthiness. In this paper, a brief introduction, advantages and security of the combination of blockchain and the Internet of Vehicles are discussed, and then an analysis is presented on how other technologies are necessary for the secure and efficient development of the network.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/TEM.2020.3003565,"Permissionless and Permissioned, Technology-Focused and Business Needs-Driven: Understanding the Hybrid Opportunity in Blockchain Through a Case Study of Insolar",Henry M. Kim; Hjalmar Turesson; Marek Laskowski; Amir Fard Bahreini,,"Blockchains can be public, permissionless networks implementing novel cryptocurrency-based technology features or permissioned, interorganizational networks championed by industry consortia. Some ventures operationalize a hybrid of these two network types to enhance adoption of their blockchain platforms by broadening their base of stakeholders or facilitating interoperability between heterogeneous blockchains. In this article, we synthesize literature and industry writings to identify four hybrid blockchain architectures: hybrid blockchain approach, connected hybrid blockchain, interoperable blockchain architecture, and hard-forked blockchain for enterprise use. We then analyze these architectures along dimensions of semantic modeling support between private and public networks, data connectivity between networks, syntactic interoperability support between networks with heterogeneous codebases, governance model, and technical features. We find that hybrid blockchain ventures make trade-offs: support API's, tools, and customized development so that a codebase is useful for private and public networks or provide such support for interoperation between heterogeneous codebases. We then conduct a case study of an exemplar for a hybrid blockchain approach, the startup Insolar. We identify characteristics that have led Insolar to be idiosyncratically agile and effective in its blockchain development, which together with our architecture analysis may be timely and prescriptive as enterprises grow interested in addressing blockchain hybridity and interoperability.",,,
,IEEE,Publisher: River Publishers,DOI: 10.13052/jicts2245-800X.736,Blockchain Standards and Government Applications,Christiana Aristidou; Evdokia Marcou,,"Many people talk about blockchain but very few understand its true nature and potential. Blockchain seems very exciting yet simultaneously a bit confusing, and naturally many people, businesses, and governments approach it with high expectations while also exhibiting some hesitancy. This article will deal with the use of blockchain in relation to government applications. A proper assessment of such use requires a discussion on blockchain standards, which are currently developed, or may develop in the future. Without blockchain standards, any potential use of blockchain in government will be of limited and restricted value. This would render our discussion on government applications rather limited too. Standards enable us to appreciate blockchain applications in a useful way for future applications outside the context of government. Focusing our attention to government applications is deliberate. Blockchain, obviously, provides amazing opportunities for the private sector. Over the last years there has been widespread public disbelief in many public and government institutions. Corruption, fraud, lack of transparency, alienation and disconnection of citizen from decision-making centres oblige governments to change and offer proper governance conditions for their citizens. Further, higher consumer expectations in all sectors of the economy naturally affect the expectations of citizens vis-à-vis their governments. For the above reasons, governments could leverage the positive features of blockchain to restore their reputation and efficiency towards citizens, by using blockchain. Of course, governments can use blockchain for many of their applications. To decide the proper application of blockchain within their operations, governments must embark on a need-based approach. Standards are extremely useful in such a need-based approach.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/PESGM41954.2020.9281709,IEEE SA Blockchain in Energy Standardization Framework: Grid and Prosumer Use Cases,Yuanrui Sang; Umit Cali; Murat Kuzlu; Manisa Pipattanasomporn; Claudio Lima; Sijie Chen,,"Blockchain is an emerging technology that can be applied to many industries involving transactions. It is a fair, transparent and secure way to settle and record transactions between multiple parties without the involvement of a third party. In recent years, many blockchain applications in the field of energy have emerged, however, there is still no guideline or standard for blockchain applications in energy yet. In order to fill the gap, the paper aims to provide a brief review of grid and prosumer blockchain applications and present the standard development activities by the IEEE Standard Association (SA). The review shows that blockchain in energy is a maturing technology that can be used in many areas in the power and energy industry, facilitating the growth of different modern grid technologies. With the development of standards, guidelines for blockchain applications in energy will be provided so that this technology will be better utilized.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/WF-IoT58464.2023.10539422,BE-DNS: Blockchain-Enabled Decentralized Name Services and P2P Communication Protocol,Zihan Zhou; Chenxiao Guo; Hao Xu; Xiaoshuai Zhang; Yixuan Fan; Lei Zhang,,"To enhance security and confidentiality in P2P communication, we implement a blockchain-enabled system of identity management and mutual authentication protocol, Be-Mutual. It provides user-centric identity management based on blockchain addresses and employs mutual authentication based on asymmetric encryption to prevent unauthorized access. We address the complexity of blockchain addresses, a significant chal-lenge in real-world applications such as Decentralized Physical Infrastructure (DePIN) and Decentralized Wireless (DeWi), by integrating the Blockchain-enabled Domain Name System (Be-DNS) into BeMutual. BeDNS maps complex blockchain addresses to easy-to-remember domain names, improving user experience without sacrificing security. The proposed BeMutual system, combining blockchain-based identity management, mutual authentication, and domain name resolution, offers a pioneering solution for secure and user-friendly P2P communication in decentralized environments.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/POWERCON53785.2021.9697678,Research on intelligent terminal fusion scheme based on blockchain Technology,Chao Ma; Feng ZHAI; Xia-qiang YAN; Wei ZHANG,,"With the emergence of digital currency bitcoin, blockchain technology is a distributed shared database technology. The continuous development and updating of blockchain technology provides the possibility of its integration with more fields; At present, Internet of things technology has been widely concerned at home and abroad. This paper first introduces the principles and characteristics of blockchain technology and Internet of things technology, then discusses the integration of blockchain technology and Internet of things technology, introduces the intelligent terminal system based on the integration of blockchain and Internet of things, explains two application scenarios, and finally analyzes the development direction of blockchain and Internet of things technology in the future. This electronic document is a ""live"" template and already defines the components of your paper [title, text, heads, etc.] in its style sheet.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/Blockchain60715.2023.00036,Efficient Authentication System Based On Blockchain Using eID card,Liang Liu; Kazumasa Omote,,"With the continuous advancement of smart cities, Internet of Things(IoT) technology is flourishing at an unprecedented rate. This has led to a rapid increase in the number of IoT devices and a consequent rise in data interactions between these devices. As a result, the management and verification of device identities have become increasingly crucial. However, current systems still rely on vast databases to store identity data and require manual intervention for authentication. This reliance on databases limits the efficiency of authentication, particularly in environments with a large number of devices. To address this challenge, we have integrated government public key infrastructure(PKI) with smart contract technology to develop an efficient and automated authentication system. Our system utilizes electronic identity cards(eID cards) as a storage medium for certificates, providing reliable identity proof. Smart contracts are then used to automatically verify the certificates and implement access control over the verification results. Our system offers not only stronger universality, reduced storage overhead, and faster authentication speed, but also higher scalability. This innovative approach paves the way for authentication in IoT devices.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/Blockchain55522.2022.00080,Security Vulnerabilities and Countermeasures of Smart Contracts: A Survey,Epherem Merete Sifra,,"Recently, blockchain-based smart contracts have become popular because of their immunity, decentralization, and security insurance in a trustless environment. However, they are highly susceptible to various security risks, so it is necessary to systematically investigate existing security countermeasures and use unified evaluation criteria. There have been some surveys on the security of blockchain-based smart contracts, albeit they have failed to conduct a reasonable analysis of existing security solutions with a unified criterion. Therefore, this article comprehensively investigates the latest work on security of blockchain-based smart contracts. For better understanding, we will design a security model that represents blockchain-based smart contracts. Furthermore, we analyze the security requirements of blockchain and smart contracts and used these requirements as evaluation criteria to study the works under investigation. Finally, based on the results of the analysis, we present a series of open research issues and future directions to stimulate research work on protecting blockchain-based smart contracts.",,,
,IEEE,,,,,,,,,
,IEEE,Publisher: IEEE,DOI: 10.1109/ICBC48266.2020.9169397,A Cost-efficient IoT Forensics Framework with Blockchain,Suat Mercan; Mumin Cebe; Ege Tekiner; Kemal Akkaya; Melissa Chang; Selcuk Uluagac,,"IoT devices have been adopted widely in the last decade which enabled collection of various data from different environments. Data storage poses challenges since the data may be compromised during the storage and the integrity might be violated without being noticed. In such cases, integrity and data provenance are required in order to be able to detect the source of any incident and prove it in legal cases. To address these issues, blockchain provides excellent opportunities since it can protect the integrity of the data thanks to its distributed structure. However, it comes with certain costs as storing huge amount of data in a public blockchain will come with significant transaction fees. In this paper, we propose a highly cost effective and reliable digital forensics framework by exploiting multiple inexpensive blockchain networks as a temporary storage before the data is committed to Ethereum. To reduce Ethereum costs, we utilize Merkle trees which hierarchically stores hashes of the collected event data from IoT devices. We evaluated the approach on popular blockchains such as EOS, Stellar, and Ethereum by presenting a cost and security analysis. The results indicate that we can achieve significant cost savings without compromising the integrity of the data.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/MAJICC56935.2022.9994206,Integrating Blockchain with IoT for Mitigating Cyber Threat In Corporate Environment,Ali Dharani; S. M. Khaliq-ur-Rehman Raazi,,"The rising number of smart devices in the corporate environment poses a security threat that requires attention; organizations need to address them prior as these devices can work as a gateway for a major breach in their environment. This paper focuses on IoT-based solution towards the bring-your-own-device (BYOD) model in a corporate environment where a user brings their own devices and connects to a private network that brings enormous threats to it. A relatively efficient and security-enhanced model is proposed that addresses the resource constraint while also contributing in the direction of security achievement. It is intended to provide ease to users while not compromising on service delay or introducing resource challenges. Moreover, the comparative result concludes that the proposed model works well in our private testing environment, whereas, no additional resource utilization is involved to achieve maximized security in blockchain-IoT.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/COMSNETS56262.2023.10041392,BlockPaaS: Blockchain Platform as a Service,Yuvaraj Rajendra; Venkatesan Subramanian; Sandeep Kumar Shukla,,"Blockchain Technology is preferred in various applications for its decentralization, integrity and availability features. Much research is going on for blockchain technology's efficient design and utilization. Also, the application of blockchain in the IoT environment is a new area of focus. However, researchers have problems testing various blockchain features on IoT devices. Hence, we developed the Blockchain Platform as a Service (BlockPaaS), which allows users to run various blockchain protocols on the IoT hardware instantly.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/ITT48889.2019.9075074,An Analytical View on Political Voting System using Blockchain Technology - UAE Case Study,Nedaa Baker Al Barghuthi; Issam Hamdan; Saleh Al Suwaidi; Ahmed Lootah; Bader Al Amoudi; Omar Al Shamsi,,"Voting is a pillar of modern society, but the traditional paper voting system is prone to fraud and failure. Votes can sometimes be miscounted or might be lost in transit. Besides, the electronic voting system has been active subject research for decades. However, the old traditional voting system lacks security and privacy features, which has been a challenge for a long time. As a solution, this paper is proposing a prototype blockchain-based electronic voting system for the United Arab Emirates (UAE) political election process. A blockchain system is a distributed decentralized, immutable database; that allows the data to be distributed and shared among all the participants in a network. Also, it has many advantages that can be applied in many use cases, such as electronic voting systems. Implementing the blockchain-based electronic voting system will minimize the costs of running an election while ensuring integrity. It has the potential to limit voter fraud while making the votes traceable and verifiable, preventing unauthorized activity, and fake votes by authenticating each voter in the system. The UAE has a blockchain initiative that seeks to have 50 percent paperless transactions in all its governmental processes by the end of 2021. This paper studied the effectiveness of adopting blockchain in the UAE political election.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/ICAIS56108.2023.10073892,Comparative Study of Blockchain Technology in Supply Chain Management,Komal Rahul Pardeshi,,"Nowadays internet is the basic need for everyone’s life. Internet is widely used in communication, business, music, video, online money transfer, to check weather conditions, online shopping and lot more applications. In this way, internet has a great impact on human lives. In the same way, Blockchain will influence the daily activities of humans in the near future. Each and every business has online and offline market. For every commercial organization the basic need is proper supply chain management. Every business organization wish to build trust among the customers. Blockchain technology can be use in supply chain management to build trust among the customer. This paper gives overview of the importance of blockchain technology in supply chain management. This article provides an introduction to supply chain management followed by blockchain technology. The study also focuses on how researchers have applied blockchain technology along with other technology to drive effective supply chain in various areas.",,,
,IEEE,Publisher: IEEE,DOI: 10.23919/ELINFOCOM.2019.8706369,Survey on the Application of BlockChain to IoT,Sunghyun Cho; Sejong Lee,,"A network composed of lightweight devices such as IoT has problems due to limited resources such as lack of storage space and low computing performance. These issues pose significant challenges in the application of robust security technologies, which reduces network security performance. The blockchain with strong security is a suitable technology to solve IoT problems with weak security. As a result, various research is being carried out to increase security, lightness, and efficiency of the IoT network by applying blockchain to IoT. This paper introduces the trend of research to apply blockchain to IoT.",,,
