journal,indexation,publication,doi,titre,chercheurs,laboratoires,abstract,keywords,pays,quartile
,IEEE,Publisher: IEEE,DOI: 10.1109/BigData59044.2023.10386683,Trustworthy Medical Operational AI: Marrying AI and Regulatory Requirements,Fabian Berns; Georg Zimmermann; Christian Borgelt; Niclas Heilig; Jan Kirchhoff; Florian Stumpe,,"Despite recent advancements in AI and Data Science, the vast Big Data sources available to medical and health care providers are far from living up to their potential. Addressing the underlying transparency and data protection concerns helps to unleash these advancements in the medical domain and thus benefits research and patient care. Subsequently, we propose a system for trustworthy medical operational AI in this paper. We present our vision to align medical operational AI with regulatory demands of the medical domain. We propose guiding principles to marry data-driven diagnostic recommendations with legal frameworks, clinical protocols, and expert-driven reasoning. Through this research, we aim for AI systems in medicine that not only provide accurate predictions but also empower users to comprehend and trust the underlying decision-making processes.",,,
,IEEE,Publisher: MIT Press,DOI: 10.7551/mitpress/15406.001.0001,The AI Conundrum,Caleb Briggs; Rex Briggs,,,,,
,IEEE,Publisher: Packt Publishing,,"Power Platform and the AI Revolution: Explore modern AI services to develop apps, bots, and automation patterns to enhance customer experiences",Aaron Guilmette,,"Unlock the untapped potential of ChatGPT, CoPilot, and Azure AI services by integrating them with the Microsoft Power Platform Key Features Gain insights into the latest AI technologies and their business applicationsUse generative AI to build apps, workflows, and chatbotsLearn how to integrate AI services to automate work and deliver apps for specific business needsPurchase of the print or Kindle book includes a free PDF eBook Book Description In this AI era, employing leading machine learning and AI models such as ChatGPT for responding to customer feedback and prototyping applications is crucial to drive business success in the competitive market. This book is an indispensable guide to integrating cutting-edge technology into business operations and leveraging AI to analyze sentiment at scale, helping free up valuable time to enhance customer relationships. Immerse yourself in the future of AI-enabled application development by working with Power Automate, Power Apps, and the new Copilot Studio. With this book, you’ll learn foundational AI concepts as you explore the extensive capabilities of the low-code Power Platform. You’ll see how Microsoft's advanced machine learning technologies can streamline common business tasks such as extracting key data elements from customer documents, reviewing customer emails, and validating passports and drivers’ licenses. The book also guides you in harnessing the power of generative AI to expedite tasks like creating executive summaries, building presentations, and analyzing resumes. You’ll build apps using natural language prompting and see how ChatGPT can be used to power chatbots in your organization. By the end of this book, you’ll have charted your path to developing your own reusable AI automation patterns to propel your business operations into the future. What you will learn Interact with ChatGPT using connectors and HTTP callsTrain AI models to identify the key elements of documentsUse generative AI to answer questions...",,,
,IEEE,Publisher: Packt Publishing,,"Generative AI for Cloud Solutions: Architect modern AI LLMs in secure, scalable, and ethical cloud environments",Paul Singh; Anurag Karuparti; John Maeda,,"Explore Generative AI, the engine behind ChatGPT, and delve into topics like LLM-infused frameworks, autonomous agents, and responsible innovation, to gain valuable insights into the future of AI Key Features Gain foundational GenAI knowledge and understand how to scale GenAI/ChatGPT in the cloudUnderstand advanced techniques for customizing LLMs for organizations via fine-tuning, prompt engineering, and responsible AIPeek into the future to explore emerging trends like multimodal AI and autonomous agentsPurchase of the print or Kindle book includes a free PDF eBook Book Description Generative artificial intelligence technologies and services, including ChatGPT, are transforming our work, life, and communication landscapes. To thrive in this new era, harnessing the full potential of these technologies is crucial. Generative AI for Cloud Solutions is a comprehensive guide to understanding and using Generative AI within cloud platforms. This book covers the basics of cloud computing and Generative AI/ChatGPT, addressing scaling strategies and security concerns. With its help, you’ll be able to apply responsible AI practices and other methods such as fine-tuning, RAG, autonomous agents, LLMOps, and Assistants APIs. As you progress, you’ll learn how to design and implement secure and scalable ChatGPT solutions on the cloud, while also gaining insights into the foundations of building conversational AI, such as chatbots. This process will help you customize your AI applications to suit your specific requirements. By the end of this book, you’ll have gained a solid understanding of the capabilities of Generative AI and cloud computing, empowering you to develop efficient and ethical AI solutions for a variety of applications and services. What you will learn Get started with the essentials of generative AI, LLMs, and ChatGPT, and understand how they function togetherUnderstand how we started applying NLP to concepts like transformersGrasp the process of fine-tuning and de...",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/CAI59869.2024.00250,The impact of the artificial intelligence (AI) Art Generator in pre-service art teacher training,Yan Zhou,,"The use of Artificial Intelligence (AI) is common in education recently. As pre-service teachers’ attitudes and behaviors towards the use of AI potentially influence the learning process and outcomes of their future students, it is necessary to know the impact of AI in pre-service teachers' training. This study aims to explore pre-service art teachers' attitudes toward using the current AI art generator and their perceptions of using it in their future careers. 45 Pre-service art teachers with no AI art generator experience participated and were distributed into eight groups. They used the AI art generator to draw pictures by selecting and revising keywords. They could discuss keywords within their groups. In the first round, the participants need to draw a similar picture as the trainer displayed. In the second round, participants could draw any picture they liked according to their own opinions. After class, participants filled out an online questionnaire concerning their experience of using the AI art generator and their opinions of using it in their future careers, including keywords they used and the times of keyword revision. Half of the groups thought that the AI art generator did not create the pictures they wanted according to the keywords they provided, and the times at which the keywords changed in these groups were much higher than in the other groups. Participants who thought the AI generated the pictures they wanted showed a much higher preference for using AI in the future. The majority of pre-service art teachers were interested in AI art generators. They believed that AI tools could help them prepare course materials, provide inspiration, and benefit their interactions with students in the future. However, they found that it took a lot of time to revise keywords, which represents the necessity to enhance their information literacy and ability to use educational technology. It also places new demands on our current education to adapt to the AI era.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/ISEC61299.2024.10665039,Preliminary Results from Integrating Chatbots and Low-Code AI in Computer Science Coursework,Yulia Kumar; Anjana Manikandan; J. Jenny Li; Patricia Morreale,,"The study investigates the application of chatbots and low-code AI tools in advancing Computer Science (CS) education, concentrating on the CS AI Explorations course and the AI for ALL extracurricular programs. It addresses two main research questions: firstly, the impact of chatbots on student growth and engagement in undergraduate research, and secondly, the potential of low-code AI platforms to bridge the gap between theoretical and practical AI skills. Conducted during the 2022–2024 academic years, this research combines case studies and empirical data to evaluate the effectiveness of integrating these technologies into conventional teaching methodologies. The preliminary findings suggest a significant transformative potential for chatbots and low-code AI, offering valuable insights for future educational strategies and developing more dynamic, interactive learning environments. Notably, there was a significant increase in students' involvement in research. Future investigations will elucidate the long-term effects of integrating chatbots and low-code AI.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/SAMI54271.2022.9780669,Brief overview of Edge AI accelerators for energy-constrained edge,Ladislav Pomšár; Alexander Brecko; Iveta Zolotová,,"In the last several years, there has been a big boom in the field of AI, and particularly in a subset called deep learning. The models used in deep learning are often relatively computationally expensive and problematic to execute in real-time in environments with computational and energetic constraints. In order to do so, specialized hardware, so-called AI Accelerators are often utilized. The term AI Accelerators encompass a wide variety of different devices using different technologies. This work surveys a market and introduces an overview of such accelerators for a network's edge constrained by electrical energy.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/SMC53654.2022.9945351,A Formal Theory of AI Trustworthiness for Evaluating Autonomous AI Systems,Yingxu Wang,,"Advances in the frontier of intelligence and system sciences have triggered the emergence of Autonomous AI (AAI) systems. AAI is cognitive intelligent systems that enable non-programmed and non-pretrained inferential intelligence for autonomous intelligence generation by machines. Basic research challenges to AAI are rooted in their transdisciplinary nature and trustworthiness among interactions of human and machine intelligence in a coherent framework. This work presents a theory and a methodology for AAI trustworthiness and its quantitative measurement in real-time context based on basic research in autonomous systems and symbiotic human-robot coordination. Experimental results have demonstrated the novelty of the methodology and effectiveness of real-time applications in hybrid intelligence systems involving humans, robots, and their interactions in distributed, adaptive, and cognitive AI systems.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/ACCESS.2022.3154776,Personas for Artificial Intelligence (AI) an Open Source Toolbox,Andreas Holzinger; Michaela Kargl; Bettina Kipperer; Peter Regitnig; Markus Plass; Heimo Müller,,"Personas have successfully supported the development of classical user interfaces for more than two decades by mapping users’ mental models to specific contexts. The rapid proliferation of Artificial Intelligence (AI) applications makes it necessary to create new approaches for future human-AI interfaces. Human-AI interfaces differ from classical human-computer interfaces in many ways, such as gaining some degree of human-like cognitive, self-executing, and self-adaptive capabilities and autonomy, and generating unexpected outputs that require non-deterministic interactions. Moreover, the most successful AI approaches are so-called “black box” systems, where the technology and the machine learning process are opaque to the user and the AI output is far not intuitive. This work shows how the personas method can be adapted to support the development of human-centered AI applications, and we demonstrate this on the example of a medical context. This work is - to our knowledge - the first to provide personas for AI using an openly available Personas for AI toolbox . The toolbox contains guidelines and material supporting persona development for AI as well as templates and pictures for persona visualisation. It is ready to use and freely available to the international research and development community. Additionally, an example from medical AI is provided as a best practice use case. This work is intended to help foster the development of novel human-AI interfaces that will be urgently needed in the near future.",,,
,IEEE,Publisher: MIT Press,DOI: 10.7551/mitpress/12350.001.0001,II THE PROSPECTS AND LIMITS OF AI,Peter Dauvergne,,,,,
,IEEE,Publisher: IET,,IEE Colloquium on 'AI in Medical Decision Making' (Digest No.062),,,,,,
,IEEE,Publisher: MIT Press,DOI: 10.7551/mitpress/12350.001.0001,III THE DANGERS OF AI,Peter Dauvergne,,,,,
,IEEE,Publisher: MIT Press,DOI: 10.7551/mitpress/12350.001.0001,I THE GLOBAL POLITICAL ECONOMY OF AI,Peter Dauvergne,,,,,
,IEEE,Publisher: IET,,IEE Colloquium on 'AI in the User Interface' (Digest No.118),,,,,,
,IEEE,Publisher: IEEE,DOI: 10.1109/IC3SE62002.2024.10593585,Evaluation of the Explainable AI-NLP Framework for Text Categorization,Amar Preet Singh; Gaurav Gupta; Soumya K,,"Although there has been a decrease in interpretability, significant progress has lately been achieved in developing state-of-the-art models. This assessment provides a thorough analysis of Explainable AI (XAI) within the framework of Natural Language Processing (NLP). This study examines the fundamental classification of descriptions in addition to the many techniques for producing and displaying explanations. The purpose of the survey is to provide a comprehensive study of the many approaches and strategies used to clarify the models' predictions, making it a helpful tool for people who develop NLP models. Additionally, we draw attention to the gaps in the current literature and urge further investigation into potential avenues for this crucial field of study. An experiment is also conducted and the results are discussed in this article.",,,
